"GEN","Y","Y_R","ASTAB","ASTAB_R","ssiASTAB","ASI","ASI_R","ASI_SSI","ASV","ASV_R","ASV_SSI","AVAMGE","AVAMGE_R","AVAMGE_SSI","DA","DA_R","DA_SSI","DZ","DZ_R","DZ_SSI","EV","EV_R","EV_SSI","FA","FA_R","FA_SSI","MASI","MASI_R","MASI_SSI","MASV","MASV_R","MASV_SSI","SIPC","SIPC_R","SIPC_SSI","ZA","ZA_R","ZA_SSI","WAAS","WAAS_R","WAAS_SSI"
"CL1",2.625,72.5,0.00722268692922578,4,76.5,0.0342793660908635,12,84.5,0.122141596689956,12,84.5,0.285290148448068,5,77.5,0.177085614930145,5,77.5,0.0415762990383361,5,77.5,0.000576196213908383,5,77.5,0.0313593150151876,5,77.5,0.0343159374748778,12,84.5,0.196816571000169,8,80.5,0.13001828131342,7,79.5,0.0228661408326825,9,81.5,0.0493038642168393,11,83.5
"CL2",3.46354166666667,33,0.0844017369156555,51,84,0.169085995506903,85,118,0.602826452123985,85,118,1.14463562753041,66,99,0.677223150548073,65,98,0.126673401716483,37,70,0.00534871690080845,37,70,0.458631195638258,65,98,0.169228534164097,85,118,0.616913781027976,57,90,0.392071141695096,46,79,0.0830088412268416,67,100,0.190236343041962,70,103
"CL3",2.390625,85,0.153879437898743,80,165,0.117602833124355,56,141,0.41864943942769,55,140,1.21117577597841,71,156,0.773866095389685,77,162,0.199806028483546,83,168,0.0133074830061225,83,168,0.598868733593678,77,162,0.117751871943369,55,140,0.938740203099025,93,178,0.512776459370761,68,153,0.0790127263429852,62,147,0.16187468057596,58,143
"Extra",2.625,72.5,0.0178691726199878,14,86.5,0.0415259890977931,15,87.5,0.147969899008269,15,87.5,0.474523448043185,14,86.5,0.252045130522196,14,86.5,0.0744528686719375,14,86.5,0.00184774321782693,14,86.5,0.063526747819951,14,86.5,0.0428069516446274,14,86.5,0.248177993912379,15,87.5,0.227992434174969,17,89.5,0.0328578681271674,16,88.5,0.0678580914989641,16,88.5
"L001",2.2875,90,0.268583728991518,99,189,0.244273915483933,98,188,0.8707188672006,98,188,1.86029014844803,100,190,1.11341517468889,100,190,0.251735229745703,96,186,0.0211235419650405,96,186,1.2396933512275,100,190,0.245307822860813,99,189,1.10048991189267,100,190,0.867720403228863,101,191,0.153223466896933,101,191,0.334676371355722,101,191
"L002",3.2625,38,0.0710415438583399,45,83,0.117553452289373,55,93,0.419100551072681,56,94,0.984531039136299,46,84,0.5445673427306,43,81,0.141352495629825,52,90,0.00666017600692656,52,90,0.296553590768667,43,81,0.119352030947809,57,95,0.464573539747155,32,70,0.413771105455702,49,87,0.0684522994337534,47,85,0.149366393107092,49,87
"L003",2.025,100.5,0.0570846679716267,35,135.5,0.0656562154815196,24,124.5,0.233740357007859,24,124.5,0.760572705802969,30,130.5,0.456050646661777,30,130.5,0.127694583873942,39,139.5,0.00543530225024638,39,139.5,0.207982192320625,30,130.5,0.0668022041922157,22,122.5,0.52610212802548,40,140.5,0.363833706427344,40,140.5,0.0502658602442156,26,126.5,0.100612103405897,25,125.5
"L004",2.1875,97,0.154207419542332,81,178,0.149933551426528,77,174,0.534181228317386,77,174,1.26029014844804,75,172,0.805922816850401,83,180,0.195372457248029,81,178,0.012723465683711,81,178,0.649511586720086,83,180,0.150297671452894,75,172,0.90379147903801,88,185,0.614298109558295,88,185,0.103559272106156,81,178,0.220886851361087,82,179
"L005",2.475,82.5,0.0234278433719682,16,98.5,0.0529730868568515,21,103.5,0.188668165113679,21,103.5,0.500759109311736,16,98.5,0.309607650279267,18,100.5,0.0763916328344637,17,99.5,0.0019452271890385,17,99.5,0.0958568971114488,18,100.5,0.0529833315664289,19,101.5,0.36436130891591,25,107.5,0.208433925239034,14,96.5,0.0357127199380815,19,101.5,0.0758133971484532,20,102.5
"L006",2.325,87,0.222032133719593,96,183,0.145509783271866,72,159,0.5183850064887,72,159,1.66057270580297,93,180,0.898869968904339,90,177,0.257167687110549,98,185,0.0220450730979298,98,185,0.807967220998087,90,177,0.149012003614918,73,160,0.941637104649849,94,181,0.795057796595945,97,184,0.115215810353786,90,177,0.237150987165658,88,175
"L007",1.975,103,0.0778986083347457,46,149,0.118320112938372,57,160,0.421710735507505,57,160,0.96057270580297,41,144,0.578272232293592,49,152,0.141246639831038,51,154,0.00665020442118629,51,154,0.334398774641814,49,152,0.119220927098691,56,159,0.5828177114544,52,155,0.478185505562354,60,163,0.0796230865708361,63,166,0.171150213282115,65,168
"L008",2.975,57,0.0515066989799139,28,85,0.135078617017716,63,120,0.48158756791299,63,120,0.934531039136305,39,96,0.534869979609213,42,99,0.096929123275698,23,80,0.00313175164633182,23,80,0.28608589508716,42,99,0.135120339671716,63,120,0.485587754414909,35,92,0.277620363288714,24,81,0.0625840978739348,39,96,0.145269616356729,46,103
"L009",2.275,92,0.0596677876376785,37,129,0.0841190234579005,35,127,0.299853424091451,35,127,0.860572705802968,35,127,0.463193563214652,31,123,0.137632086578952,48,140,0.00631419708535867,48,140,0.214548277003486,31,123,0.0867575190289063,35,127,0.406254416518124,29,121,0.408238747963496,48,140,0.0605147606821431,35,127,0.12723244488277,37,129
"L010",2.5375,80,0.0923912962140186,56,136,0.180286667938373,86,166,0.642757523744256,86,166,1.1845310391363,69,149,0.716246888022091,71,151,0.129396335728038,41,121,0.00558113723328104,41,121,0.51300960460133,71,151,0.180289049870786,86,166,0.656842660438174,66,146,0.366854934051196,41,121,0.0850273543924303,70,150,0.197600814125725,74,154
