"GEN","Y","Y_R","CV","CV_R","ACV","ACV_R","POLAR","POLAR_R","Var","Var_R","Shukla","Shukla_R","Wi_g","Wi_g_R","Wi_f","Wi_f_R","Wi_u","Wi_u_R","Ecoval","Ecoval_R","bij","Sij","Sij_R","R2","R2_R","ASTAB","ASTAB_R","ASI","ASI_R","ASV","ASV_R","AVAMGE","AVAMGE_R","DA","DA_R","DZ","DZ_R","EV","EV_R","FA","FA_R","MASI","MASI_R","MASV","MASV_R","SIPC","SIPC_R","ZA","ZA_R","WAAS","WAAS_R","WAASB","WAASB_R","HMGV","HMGV_R","RPGV","RPGV_R","HMRPGV","HMRPGV_R","Pi_a","Pi_a_R","Pi_f","Pi_f_R","Pi_u","Pi_u_R","Gai","Gai_R","S1","S1_R","S2","S2_R","S3","S3_R","S6","S6_R","N1","N1_R","N2","N2_R","N3","N3_R","N4","N4_R"
"CL1",37.0858820921986,88,12.6545480585331,63,12.0978947443282,45,-0.00760527456889584,45,66.0741766538246,50,0.0761016860265141,20,94.8889342001399,82,96.0741768372659,80,95.2627496814524,70,11.4035229421485,20,1.00320827985237,0.0889006267540623,29,0.996414634777651,28,0.0410234620210231,20,0.0562762535841398,19,0.160372854269927,19,0.835631321424136,18,0.487415012723472,20,0.0879267579561216,21,0.00257703825489146,21,0.237573394628222,20,0.0592795478462122,17,0.370102048800424,22,0.338925399057239,26,0.0373238212292571,26,0.0981147586446793,24,0.244638068110027,73,36.6489129958461,87,0.964014572235635,87,0.963961280683588,87,15.6354244876154,88,14.0041189236111,86,17.2667300516196,87,36.8623716148914,87,0.1667,8,462,22,3.7901,43,0.8395,61,12.5,9,0.146198830409357,5,0.2196,9,0.002,7
"CL2",39.421875,27,13.0138070961361,79,13.4389162993525,93,0.0837036201879309,93,78.9595269097223,90,0.222394906801873,44,100.897099383924,18,101.229458632089,19,100.485342766879,23,32.0646270454809,44,1.09840477879026,-0.0122749288046492,6,0.999562447429656,6,0.10094018920482,42,0.103131694151368,46,0.293846663656238,46,1.29418541110377,43,0.817320661336595,44,0.126743542016739,40,0.00535464181431631,40,0.668013063447689,44,0.104782571855164,46,0.785629367521953,62,0.497221541176292,48,0.0582550630382069,46,0.154226189710193,45,0.343515566454165,93,38.9315376418073,28,1.02426265913862,28,1.02421584958404,28,5.26601345486111,26,3.907265625,18,6.62476128472222,29,39.1723689696234,28,6.3333,57,816.6667,42,2.1795,31,0.2821,28,20,40,0.816326530612245,78,0.9166,76,0.2346,79
"CL3",39.8645833333333,18,10.8591983350437,11,11.373169139828,19,-0.0612618820392604,19,56.2200520833334,15,0.116425318340372,26,101.546089716755,12,101.188719402264,20,102.460588444719,13,17.098460551995,26,0.926983509165971,-0.025822398897612,10,0.999867413787623,2,0.0546016202412691,28,0.0757168478667688,31,0.2157476075605,31,0.893314588896903,22,0.596839951885431,26,0.0944485218733887,27,0.00297350776135599,27,0.356217928166604,26,0.0772366740599189,30,0.546957029071681,42,0.382101444762711,30,0.0448748619516343,34,0.119252911300553,36,0.21473638661793,65,39.5093765369571,17,1.03763741011752,18,1.03750514980531,18,4.04584201388889,19,4.29368055555555,22,3.79800347222222,18,39.688878114201,18,5.3333,50,635.3333,33,1.5266,23,0.2012,18,18,32,0.9,81,1.0648,81,0.2602,81
"Extra",37.234375,82,12.7248713078197,65,12.2266605053709,52,0.0015908289206178,52,67.3466796875,54,0.0687637980552937,17,95.157865385553,78,96.5784965181112,75,94.050436871487,79,10.3671873794217,17,1.0130994112346,0.0728295459624647,25,0.996959643824505,25,0.0248022925319838,6,0.0820927578398792,36,0.234000750600103,36,0.891507442142605,21,0.464739787843287,17,0.0534761255674274,4,0.000953232001901089,4,0.215983070404623,17,0.0821065419187434,32,0.242212119518891,8,0.190586168522467,6,0.0313506270007129,13,0.0912285283159301,22,0.0654319995402811,9,36.7862394763877,81,0.967862387840248,82,0.967791777490468,82,14.77423828125,82,13.66625,85,15.8822265625,82,37.0060464265476,82,5,49,462.25,23,1.1354,17,0.4199,35,18.25,33.5,0.221212121212121,15,0.226,11,0.0607,35
"L001",41.8125,2,11.769463084513,36,13.0918598866061,85,0.06097781946252,85,72.651875,79,0.484261227167626,68,105.584212175036,2,105.934126845448,1,104.492854581824,7,69.0482089063616,68,1.04430447459567,0.625499848382881,82,0.981967450966292,80,0.202080286873766,66,0.181763634828192,69,0.518066086994097,69,2.32099255785741,74,1.19937665152189,68,0.176673704493365,69,0.0104045326198029,69,1.43850435221587,68,0.18421003066573,69,0.797504068188533,63,0.767110341823135,81,0.098145042997861,76,0.269491735027409,74,0.260743458379317,78,41.3746756859559,2,1.08716510879245,2,1.0869616169508,2,0.448437499999998,2,0.12625,2,0.770624999999997,3,41.6014495704849,2,13.6667,99,1714.9167,84,0.0467,2,0.0344,2,35.25,88.5,11.75,103,11.0349,103,4.2051,104
"L002",38.6375,39.5,11.3782764742111,25,11.4555390587345,21,-0.0549938170770368,21,57.981875,23,0.4269098786557,64,97.7149408084857,48,98.2650344563803,52,100.437851664649,24,60.9484338396038,64,0.933467173382402,0.460542442956414,72,0.983094998437421,75,0.294787087859452,82,0.027594990946663,6,0.078637934059893,6,2.08253101939588,67,1.12683585243152,64,0.262308708155133,98,0.0229352861246715,98,1.26975903832508,64,0.0722841342991924,28,0.564402760486189,44,0.631630748772145,62,0.0462715478340109,37,0.105727545924686,29,0.0996330966160896,31,38.2551763107057,38,1.00525619263347,40,1.00509479698927,40,8.1053125,39,9.518125,59,6.69249999999999,30,38.449888103914,40,12.9167,96,1698.3958,82,14.5107,77,0.8927,66,33.875,85,0.720744680851064,73,0.7634,71,0.2763,82
"L003",37.325,80,12.8611761772448,73,12.3956182979211,64,0.0135115108855727,64,69.1325,64,0.118821696348736,27,95.0266523055995,80,96.6790254529959,73,93.4991509699163,84,17.436902861483,27,1.02562320686327,0.130610328436683,35,0.995366586505106,38,0.0528439531800727,25,0.0892554178503514,41,0.254399950708124,41,0.913278602987626,24,0.60271785241042,27,0.0924416682069938,24,0.00284848734029731,24,0.363268809614229,27,0.0908643638122412,40,0.386551890690676,25,0.391030559631436,33,0.0488224090484998,40,0.133411553268805,40,0.116415631808455,36,36.8700339393051,80,0.970109962063904,80,0.970022698469506,80,14.21875,80,13.50625,83,14.93125,79,37.0913005856372,80,5.9167,54,496.5625,25,8.4947,61,0.963,71,15.625,23.5,0.188253012048193,10,0.2372,13,0.0727,40
"L004",37.1125,86,12.9094750907912,76,12.3527936895544,60,0.0105054982693614,60,68.861875,61,0.0684354858657214,16,95.0024331409897,81,94.522307493242,91,96.0577066852224,60,10.3208195963441,16,1.02468787245524,0.0580236438562679,17,0.997456559391185,18,0.0287198895734747,11,0.0695030485421256,29,0.198075272597729,29,0.820992557857433,16,0.463699336773131,16,0.0631628749410426,9,0.0013298495902726,9,0.215017074923841,16,0.0697908807308321,26,0.389063840430409,26,0.278494948539069,14,0.0376626886967539,27,0.104000155043747,28,0.0889237475532103,25,36.6727695708966,85,0.96470141700325,86,0.964654453713665,86,15.2603125,86,14.125,87,16.395625,83,36.8835083790813,86,5.5,52,338.25,11,25.2222,93,2,93,14.75,20,0.176646706586826,8,0.1831,4,0.0632,36
"L005",38.3375,52,13.0713181232153,81,13.031188714383,84,0.0569431904134935,84,75.336875,84,0.396626207485337,62,96.5771695155726,63,99.4671425793297,35,94.1668031992876,77,56.6714476650839,62,1.06679752567557,0.414836144173202,69,0.988202708303091,64,0.143066962106257,52,0.184189299934861,70,0.52500391450017,70,1.70574758359177,54,1.08657956896366,62,0.133938952214522,44,0.00597988097344132,44,1.18065515968925,62,0.184569624619141,70,0.654316756966304,50,0.575338335274884,58,0.0843293116836321,65,0.238989010466839,68,0.213970344620189,64,37.8452748142463,54,0.996072237479538,52,0.995882709941875,52,9.5240625,52,8.32,49,10.728125,55,38.086708167413,52,6.75,60,1250.0625,59,14.3192,75,0.8696,62.5,25.625,60,0.554054054054054,66,0.6078,62,0.134,60
"L006",40.825,10,10.9550899075632,13,11.823724203583,34,-0.0275162960253056,34,60.0074999999999,26,0.800499924128598,86,101.465988610555,13,102.948319821435,12,100.373180522659,25,113.710843338702,86,0.940547979821313,1.03932922199264,92,0.964375165678497,93,0.270965057506051,79,0.272963195235647,90,0.778069848073851,90,2.87099255785746,89,1.53914778461642,86,0.176322840473065,68,0.0103632480241634,68,2.36897590288963,86,0.273006533968868,90,0.780080898252576,60,0.573142291873513,56,0.0964917699218808,74,0.28278301097038,78,0.271689969818199,80,40.4530326034948,9,1.06243450843411,9,1.06197529966936,9,1.841875,9,1.680625,10,2.00312499999999,11,40.6477889289809,9,10.9167,86,1966.75,89,0.4309,5,0.0957,5,37.75,90,3.43181818181818,97,3.4915,97,0.9924,100
"L007",39.8125,20,10.2821151846125,4,10.7510104518873,4,-0.110126309792586,4,50.271875,5,0.902055288396649,89,98.6728185484874,36,102.066481279832,14,97.0388359188382,53,128.053585553791,89,0.863851900722394,0.698048755932832,85,0.971053470485687,88,0.32000949908824,86,0.274433957540642,91,0.782206136239096,91,2.74425241640825,87,1.63333494188138,89,0.196721668387233,77,0.0128998049376855,77,2.66778303237064,89,0.274435256876236,91,1.10289192322695,81,0.783823308339561,83,0.124789937340486,91,0.357849561957413,91,0.338391751349337,91,39.4866243606517,19,1.03671389483256,19,1.03621235337069,19,4.39531249999999,22,4.540625,23,4.24999999999999,22,39.6591249273202,19,3.25,33.5,1662.5,80,3.1173,40,0.3457,34,25.75,61,1.06185567010309,85,1.4713,86,0.1354,61
"L008",37.9125,65.5,12.9246654140328,77,12.7048912751998,75,0.0349170277362501,75,72.031875,75,0.319158871213401,50,95.7064492400163,72,97.5600758390898,63,93.7068895688041,82,45.7306761731372,50,1.04327860692011,0.385547690410357,66,0.988474627623063,63,0.109302889904374,44,0.172815474672925,63,0.49260281812593,63,1.77900744214257,59,0.976075007503874,50,0.112312058519307,34,0.00420466616294809,34,0.952722420273687,50,0.172867542712444,63,0.496212232091039,37,0.381010631506244,29,0.06279599588784,50,0.183240050323481,53,0.164998364379227,49,37.4364355359504,67,0.985206173272258,66,0.985038856877514,66,11.4853125,68,10.18,65,12.790625,70,37.6697763094028,66,8.75,74,1202.8958,56,16.6069,83,1.2254,83,29.625,73,0.479757085020243,58,0.4864,54,0.1417,64
"L009",37.8375,70.5,12.529956306529,57,12.2861361810761,56,0.00580577163542743,56,67.431875,55,0.0618032700050225,10,97.1071143153862,57,98.1918283516849,53,97.5930878344179,50,9.38414664863071,10,1.01390711845604,0.0618760573812423,21,0.997288360788955,20,0.0401899664602212,19,0.0349462452281152,9,0.0995867979633603,9,0.717468980604125,10,0.442157274258611,10,0.0932719409871212,25,0.00289988499183501,25,0.195503055179805,10,0.0415704391294911,5,0.280128015424742,11,0.299198265839057,17,0.0285002322826398,8,0.0718600087912162,6,0.0619098899387333,6,37.3995700763723,70,0.983628455483449,70,0.983595142146776,70,11.7196875,71,10.173125,63,13.26625,73,37.6147016671654,70,3.0833,31,364.4167,13,6.2228,50,0.6733,51,13,12.5,0.19047619047619,11,0.2463,14,0.0459,27
"L010",40.25,16,8.24006159094509,1,8.73555330249299,1,-0.290444041869974,1,33,1,2.21055628493659,104,97.4431611707407,50,99.7151213513397,32,101.090598920131,20,312.854187834349,104,0.702411179697139,0.332719419542774,60,0.978044313919773,83,1.07495468167612,104,0.324773033294361,98,0.925614933271957,98,4.33253101939588,103,2.55299737169514,104,0.442937087026535,104,0.0653977543545175,104,6.51779557988229,104,0.337682245022466,99,1.77596796499762,101,1.76413012959902,104,0.202571423538048,104,0.54044890572404,102,0.49875633402438,102,40.0125672039526,16,1.04960908119563,16,1.0484784067716,16,3.701875,17,5.88812499999999,31,1.515625,6,40.1495943968047,16,10.4167,83,2335.3958,95,9.1345,63,0.5614,45,39.375,94,2.38636363636364,94,2.1462,92,0.5342,93
"L011",40.6125,13,11.2407592195998,20,12.0523630904344,40,-0.0108804643581981,40,62.521875,34,1.327776069368,97,99.9818708766216,26,100.941085151879,22,98.3921537381935,44,188.178458927896,97,0.947908211249889,1.84188678445921,100,0.940134994824159,99,0.454119093560321,95,0.348523370438985,100,0.993447621427122,100,3.8209925578574,99,1.97999610125824,97,0.230932248858574,89,0.0177765678542928,89,3.92038456099784,97,0.348774134284551,100,1.02244111510535,77,0.848854755571657,90,0.134438047562746,95,0.38891053136434,95,0.368012480673967,95,40.2336150063211,12,1.05687988258076,12,1.05623579523543,12,2.3571875,15,2.053125,14,2.66125,14,40.4286263624544,12,14.6667,101.5,2865.5833,104,1.8182,27,0.2689,24,46.25,104,3.49056603773585,98,3.3412,96,1.0571,101
"L012",41.65,3,10.0089623554719,3,11.0789455904809,11,-0.0840280188868739,11,52.135,7,0.591034677456952,74,103.563569904206,7,104.860660961182,5,102.386840603502,14,84.1279054241501,74,0.885086821434099,0.414866918441953,70,0.982951325626822,76,0.223704114294861,70,0.20720199573511,78,0.590523815970068,78,2.23498125556321,71,1.32388243297374,74,0.170759533539556,65,0.00971960609821555,65,1.75266469633647,74,0.207443804054932,78,1.06779669486175,79,0.739745319908228,77,0.106369432368655,83,0.297835099131154,83,0.281380495647181,81,41.3091195084353,3,1.08438401319234,3,1.08389075969665,3,0.903749999999998,3,0.902499999999999,3,0.904999999999998,4,41.4963552519938,3,2.25,28,1633.8958,78,0.2247,3,0.0889,3,33.625,82.5,9.60714285714286,102,9.3349,102,0.6,96
"L013",38.4125,50,12.8876901609461,74,12.8798695207394,81,0.0467980489348728,81,73.5218749999999,82,0.283567482611176,47,97.2649306890346,56,99.4833793277338,34,95.2632647055946,69,40.7040769828543,47,1.05546752128038,0.293819155631945,56,0.991203473621607,54,0.1007150567269,41,0.158515997683162,59,0.451831225420599,59,1.47900744214261,46,0.92087002547019,47,0.110655880164076,33,0.00408157460496209,33,0.848001603809468,47,0.158712739347357,59,0.531133655537339,40,0.459777812049751,41,0.0694127266805839,54,0.198081222917608,54,0.176440840867925,51,37.9325010978883,50,0.998148835479573,50,0.99801490891779,50,9.17406249999999,50,8.043125,47,10.305,52,38.1689453151574,50,6.8333,62,931.3333,45,9.99,66,0.7184,55,24,58,0.542372881355932,65,0.5435,57,0.1405,63
